ParkID,Year,AvgAttend
1,1966,17288
1,1967,15876
1,1968,12666
1,1969,9363
1,1970,13305
1,1971,11437
1,1972,9302
1,1973,13064
1,1974,11324
1,1975,13064
1,1976,12429
1,1977,17687
1,1978,21671
1,1979,31155
1,1980,28362
1,1981,26695
1,1982,34659
1,1983,31543
1,1984,29667
1,1985,32499
1,1986,32389
1,1987,33288
1,1988,28900
1,1989,32683
1,1990,31552
1,1991,29830
1,1992,25499
1,1993,25401
1,1994,24010
1,1995,24287
1,1996,22476
1,1997,21553
1,1998,31102
1,1999,27816
1,2000,25518
1,2001,24703
1,2002,28464
1,2003,37330
1,2004,41675
1,2005,42033
1,2006,42059
1,2007,41551
1,2008,41194
1,2009,40005
1,2010,40134
1,2011,39090
1,2012,37800
1,2013,37278
1,2014,38221
1,2015,37195
1,2016,37236
1,2017,37279
1,2018,37287
1,2019,37321
1,2021,18484
1,2022,30339
1,2023,32600
1,2024,31822
1,2025,32290
2,1965,26561
2,1966,23112
2,1967,16646
2,1968,16208
2,1969,17815
2,1970,15475
2,1971,15575
2,1972,19081
2,1973,17210
2,1974,13466
2,1975,10593
2,1976,10807
2,1977,13698
2,1978,13903
2,1979,23461
2,1980,28126
2,1981,25907
2,1982,19241
2,1983,16487
2,1984,15183
2,1985,14621
2,1986,21411
2,1987,23579
2,1988,23870
2,1989,22377
2,1990,16184
2,1991,14767
2,1992,14956
2,1993,25736
2,1994,26460
2,1995,18942
2,1996,24394
2,1997,25269
2,1998,30351
2,1999,33000
3,1968,10090
3,1969,9608
3,1970,9609
3,1971,11296
3,1972,11965
3,1973,12355
3,1974,10441
3,1975,13278
3,1976,9637
3,1977,6119
3,1978,6587
3,1979,3787
3,1980,10398
3,1981,23287
3,1982,21426
3,1983,15987
3,1984,16707
3,1985,16894
3,1986,15839
3,1987,20727
3,1988,28239
3,1989,32929
3,1990,35805
3,1991,33500
3,1992,30792
3,1993,25124
3,1994,22191
3,1995,16310
3,1996,14178
3,1997,15608
3,1998,15214
3,1999,17711
3,2000,19799
3,2001,26337
3,2002,26788
3,2003,27365
3,2004,27179
3,2005,26038
3,2006,24403
3,2007,23726
3,2008,20559
3,2009,17392
3,2010,17511
3,2011,18232
3,2012,20729
3,2013,22337
3,2014,24736
3,2015,21829
3,2016,18784
3,2017,18219
3,2018,19427
3,2019,20626
3,2021,8660
3,2022,9849
3,2023,10276
3,2024,11386
4,1989,41678
4,1990,47966
4,1991,49402
4,1992,49732
4,1993,50098
4,1994,49287
4,1995,39257
4,1996,31600
4,1997,31967
4,1998,30300
4,1999,26709
4,2000,21058
4,2001,23359
4,2002,20221
4,2003,22216
4,2004,23457
4,2005,24876
4,2006,28422
4,2007,29144
4,2008,29627
4,2009,23162
4,2010,19173
4,2011,22446
4,2012,25922
4,2013,31316
4,2014,29327
4,2015,34505
4,2016,41878
4,2017,39554
4,2018,28707
4,2019,21607
4,2021,10074
4,2022,32763
4,2023,37307
4,2024,33102
4,2025,35184
5,1966,18778
5,1967,17151
5,1968,13908
5,1969,18004
5,1970,13319
5,1971,12272
5,1972,9654
5,1973,9885
5,1974,12112
5,1975,6683
5,1976,10101
5,1977,10771
5,1978,11167
5,1979,9740
5,1980,13105
5,1981,10708
5,1982,22247
5,1983,26499
5,1984,21295
5,1985,16668
5,1986,17126
5,1987,15030
5,1988,10735
5,1989,12467
5,1990,12100
5,1991,26422
5,1992,37993
5,1993,47960
5,1994,46168
5,1995,35581
5,1996,35818
6,1953,23119
6,1954,27680
6,1955,26050
6,1956,26576
6,1957,28403
6,1958,25599
6,1959,22141
6,1960,19452
6,1961,14304
6,1962,9468
6,1963,9427
6,1964,11246
6,1965,6859
6,1970,11527
6,1971,8921
6,1972,7601
6,1973,13483
6,1974,11799
6,1975,14980
6,1976,12496
6,1977,13765
6,1978,19770
6,1979,23683
6,1980,22651
6,1981,17843
6,1982,24133
6,1983,29594
6,1984,19858
6,1985,17003
6,1986,15813
6,1987,23571
6,1988,23744
6,1989,24330
6,1990,21641
6,1991,18484
6,1992,22930
6,1993,20840
6,1994,22650
6,1995,15105
6,1996,16385
6,1997,18050
6,1998,22365
6,1999,21272
6,2000,19427
7,1953,3860
7,1953,11285
7,1954,13503
7,1955,11028
7,1956,13202
7,1957,15371
7,1958,13815
7,1959,12077
7,1960,14242
7,1961,10965
7,1962,11776
7,1963,14451
7,1964,14115
7,1965,15323
7,1966,21148
7,1967,25804
7,1968,24829
7,1969,21035
7,1970,20120
7,1971,19569
7,1972,15544
7,1973,19433
7,1974,22696
7,1975,20674
7,1976,14902
7,1977,19991
7,1978,15780
7,1979,19845
7,1980,17101
7,1981,19061
7,1982,26073
7,1983,28616
7,1984,25154
7,1985,32563
7,1986,30518
7,1987,37927
7,1988,35714
7,1989,37120
7,1990,31768
7,1991,29151
7,1992,29858
7,1993,35123
7,1994,33331
7,1995,24399
8,1916,5743
8,1917,4678
8,1918,4558
8,1919,5978
8,1920,6244
8,1921,5396
8,1922,7135
8,1923,9139
8,1924,9191
8,1925,8086
8,1926,11347
8,1927,14861
8,1928,14854
8,1929,19041
8,1930,18527
8,1931,14109
8,1932,12658
8,1933,7520
8,1934,9189
8,1935,8995
8,1936,9083
8,1937,11475
8,1938,12359
8,1939,9083
8,1940,6946
8,1941,7080
8,1942,7577
8,1943,6777
8,1944,8207
8,1945,13637
8,1946,17441
8,1947,17266
8,1948,15869
8,1949,14846
8,1950,14948
8,1951,11616
8,1952,13309
8,1953,9918
8,1954,9717
8,1955,11374
8,1956,9001
8,1957,8598
8,1958,12726
8,1959,11146
8,1960,10250
8,1961,8629
8,1962,7528
8,1963,12093
8,1964,9280
8,1965,7727
8,1966,7851
8,1967,11634
8,1968,12725
8,1969,20427
8,1970,20534
8,1971,20407
8,1972,16872
8,1973,16896
8,1974,12536
8,1975,12776
8,1976,12669
8,1977,17776
8,1978,18601
8,1979,20353
8,1980,14898
8,1981,9752
8,1982,15423
8,1983,18268
8,1984,26346
8,1985,26686
8,1986,23239
8,1987,25439
8,1988,25476
8,1989,30765
8,1990,27701
8,1991,27883
8,1992,26256
8,1993,32363
8,1994,31275
8,1995,26643
8,1996,27396
8,1997,27041
8,1998,31990
8,1999,34739
8,2000,34438
8,2001,34314
8,2002,33248
8,2003,36576
8,2004,38660
8,2005,38272
8,2006,38558
8,2007,40154
8,2008,40743
8,2009,39611
8,2010,37814
8,2011,37259
8,2012,35590
8,2013,32626
8,2014,32742
8,2015,36039
8,2016,39906
8,2017,39501
8,2018,38794
8,2019,38208
8,2021,24431
8,2022,32306
8,2023,34261
8,2024,35923
8,2025,37259
9,1962,14124
9,1962,33195
9,1963,10136
9,1963,31341
9,1964,9388
9,1964,27515
9,1965,7084
9,1965,31526
9,1966,32309
9,1967,20548
9,1968,19520
9,1969,22031
9,1970,20952
9,1971,25489
9,1972,24811
9,1973,26373
9,1974,32500
9,1975,31350
9,1976,29461
9,1977,36483
9,1978,41331
9,1979,35320
9,1980,39625
9,1981,42523
9,1982,44554
9,1983,43879
9,1984,38702
9,1985,40304
9,1986,37324
9,1987,34536
9,1988,36793
9,1989,36354
9,1990,37067
9,1991,41335
9,1992,30534
9,1993,39141
9,1994,41443
9,1995,38420
9,1996,39364
9,1997,40982
9,1998,38139
9,1999,38214
9,2000,35559
9,2001,37249
9,2002,38657
9,2003,38748
9,2004,43065
9,2005,44489
9,2006,46402
9,2007,47618
9,2008,46056
9,2009,46440
9,2010,43979
9,2011,36236
9,2012,41040
9,2013,46216
9,2014,46696
9,2015,46479
9,2016,45720
9,2017,46492
9,2018,47043
9,2019,49066
9,2021,34626
9,2022,47672
9,2023,47371
9,2024,48657
9,2025,49537
10,1977,17701
10,1978,17838
10,1979,25953
10,1980,27602
10,1981,27403
10,1982,28621
10,1983,28650
10,1984,19834
10,1985,18549
10,1986,14112
10,1987,22844
10,1988,18255
10,1989,22019
10,1990,16952
10,1991,13746
10,1992,20607
10,1993,20265
10,1994,24543
10,1995,18189
10,1996,19959
10,1997,18489
10,1998,11295
